dataset,seed,user_id,statement_id,x_normalised,y_normalised
rai,13,B_coords,736,0.41286237920693103,0.3750620963735718
welfare,10,A_coords,951,0.3442842775729132,0.3118125298900048
welfare,7,G_coords,1126,0.39761092150170646,0.8469868173258004
rai,17,A_coords,610,0.8550966022651566,0.36973623322535865
rai,8,G_coords,1032,0.20773243326173674,0.36596119929453264
rai,28,H_coords,272,0.4818535320803629,0.22627037392138064
welfare,4,H_coords,1166,0.3563731931668857,0.34265473527218493
welfare,27,A_coords,1230,0.5711805555555556,0.4553752535496957
rai,7,E_coords,386,0.48484848484848486,0.15840621963070942
rai,20,A_coords,700,0.7514237855946398,0.6131351869606904
welfare,27,G_coords,1213,0.8799725651577504,0.2493923189110355
rai,4,D_coords,419,0.3152804642166344,0.23641430562006502
rai,13,G_coords,776,0.5345345345345346,0.7669616519174042
rai,22,H_coords,205,0.620253164556962,0.7801989578398864
rai,28,B_coords,272,0.762589928057554,0.6744882675986021
welfare,5,E_coords,1172,0.6309868209578914,0.6264423076923077
welfare,5,E_coords,1041,0.3866923818707811,0.39134615384615384
rai,12,H_coords,609,0.34344698154519865,0.5321869488536155
rai,4,G_coords,188,0.41451668386652907,0.6996484178804621
rai,22,H_coords,230,0.6965189873417722,0.2979630506868783
welfare,2,E_coords,1201,0.474400518470512,0.18455560951918407
welfare,27,G_coords,1230,0.9595336076817559,0.4662129314535732
rai,23,A_coords,361,0.7315149523496549,0.6144109055501461
rai,15,G_coords,50,0.28544061302681994,0.4329944547134935
rai,28,H_coords,187,0.8807517822423849,0.7924256951102588
rai,28,H_coords,541,0.42222942320155543,0.1922339405560882
rai,8,H_coords,566,0.5365058670143416,0.39400921658986177
welfare,27,A_coords,1213,0.17604166666666668,0.3225152129817444
rai,17,H_coords,570,0.5320230430362589,0.5425531914893617
rai,21,G_coords,606,0.37890625,0.062008329477093935
rai,19,E_coords,80,0.7816023738872404,0.6106701940035273
welfare,3,A_coords,1202,0.6602112676056338,0.15260058881256133
rai,22,H_coords,806,0.6943037974683545,0.6958787304594979
rai,5,E_coords,392,0.3959424083769634,0.7261294829995343
rai,4,G_coords,61,0.4626762985896113,0.5886489201406329
rai,11,B_coords,272,0.1772669220945083,0.5570127504553734
welfare,27,G_coords,917,0.8185871056241426,0.6237238697131745
rai,14,B_coords,191,0.9139713237745916,0.07473309608540925
welfare,27,G_coords,1086,0.9598765432098766,0.14730189596499757
rai,14,B_coords,810,0.6725575191730577,0.7361464158617184
welfare,5,E_coords,1039,0.2928318868531019,0.32548076923076924
rai,19,D_coords,61,0.5990384615384615,0.6931711880261927
rai,11,G_coords,690,0.526039960694399,0.7244094488188977
rai,20,E_coords,560,0.5069327020629016,0.6326429980276134
rai,26,B_coords,565,0.7420178799489144,0.10761278195488722
welfare,12,E_coords,952,0.16705943964388584,0.5389312977099237
welfare,4,A_coords,1122,0.46677740863787376,0.04793510324483776
welfare,5,B_coords,1178,0.5233676975945017,0.8646653543307087
welfare,12,E_coords,1159,0.5658549358470804,0.31221374045801525
rai,15,E_coords,654,0.8542293547308593,0.19662363455809334
welfare,7,B_coords,1190,0.31243878550440746,0.1747159090909091
welfare,28,H_coords,1099,0.38966337980278815,0.4722222222222222
rai,27,H_coords,660,0.10144329896907217,0.16319612590799032
rai,12,A_coords,230,0.5945072697899838,0.6745562130177515
welfare,4,A_coords,1176,0.78156146179402,0.15117994100294985
rai,16,B_coords,196,0.8462270133164236,0.25359962842545286
welfare,5,E_coords,1032,0.8068145290903247,0.3283653846153846
rai,8,D_coords,181,0.32282430213464697,0.10452793834296724
rai,22,A_coords,806,0.5918635170603674,0.6
rai,5,E_coords,77,0.1354712041884817,0.18537494177922684
rai,26,H_coords,741,0.4697019325253849,0.3782549109182275
rai,5,E_coords,635,0.6770287958115183,0.5030274802049371
rai,24,D_coords,704,0.7578726382085375,0.397887323943662
rai,1,D_coords,567,0.799143891998683,0.0611353711790393
rai,1,D_coords,76,0.6990451103062233,0.7535177098495875
welfare,12,E_coords,1143,0.206598586017282,0.6748091603053435
rai,24,G_coords,10,0.6334716459197787,0.3047064531780689
rai,27,B_coords,173,0.4796096200766818,0.5654952076677316
rai,7,E_coords,390,0.2665363310524601,0.8406219630709426
rai,28,B_coords,572,0.3713600548132922,0.5716425361957065
rai,18,B_coords,256,0.2586896339587819,0.6529982363315696
rai,13,B_coords,810,0.12195934688437188,0.1351217088922007
rai,15,E_coords,408,0.5439652290203946,0.18371400198609733
welfare,29,E_coords,1009,0.4132231404958678,0.6436491935483871
rai,26,B_coords,745,0.6497445721583652,0.23637218045112782
welfare,3,H_coords,1043,0.5566006046355392,0.3013120899718838
welfare,28,H_coords,925,0.152669160149609,0.1986111111111111
rai,11,B_coords,207,0.22579821200510855,0.7967213114754098
welfare,3,H_coords,1126,0.121263016459523,0.8266166822867854
welfare,5,E_coords,1077,0.663773706203793,0.28221153846153846
