dataset,seed,model,v_measure,adjusted_rand_index
gov-ai,8,multilingual-e5-large-instruct,0.7068271188527189,0.3112458853767417
gov-ai,8,multilingual-e5-small,0.7444229676527397,0.2662235375545956
gov-ai,8,mxbai-embed-large-v1,0.6956027949204765,0.3454521295624355
gov-ai,8,nb-sbert-base,0.2916100680984788,0.09852434721737725
gov-ai,8,paraphrase-multilingual-MiniLM-L12-v2,0.43345034119391046,0.17141686275546625
gov-ai,8,paraphrase-multilingual-mpnet-base-v2,0.7051231378594911,0.3211056574528546
gov-ai,8,potion-base-2M,0.5370592938937644,0.12274026716565309
gov-ai,8,potion-base-4M,0.2680518152579453,0.049257563515575906
gov-ai,8,potion-base-8M,0.7492818937975179,0.38316826996639286
gov-ai,8,potion-multilingual-128M,0.14201096121696447,-0.0228386749259359
gov-ai,8,snowflake-arctic-embed-l-v2.0,0.7569069792870167,0.3543902802623733
gov-ai,8,static-similarity-mrl-multilingual-v1,0.10301437912715414,-0.0135808345232429
gov-ai,8,text-embedding-3-large,0.7141153948568448,0.3274799159560005
gov-ai,8,text-embedding-3-small,0.7369088096335965,0.3034614852659505
gov-ai,8,text-embedding-ada-002,0.7444229676527397,0.2662235375545956
gov-ai,8,tfidf-char35,0.6107110418535542,0.1049880789370684
gov-ai,8,xlm-roberta-base,0.2809604540491979,0.04971208037245773
gov-ai,8,xlm-roberta-large,0.13065425627470634,-0.008293013950946955
gov-ai,1,EmbeddingGemma-Scandi-300m,0.6504861803495334,0.11669413861259273
gov-ai,1,LaBSE,0.6279400826002746,0.033515110202226764
gov-ai,1,M2V_base_glove,0.15707790204728017,-0.015719947734081776
gov-ai,1,M2V_base_glove_subword,0.32020973268554975,0.029720011054964045
gov-ai,1,M2V_base_output,0.10931488047536288,0.0044472681067344345
gov-ai,1,Qwen3-Embedding-0.6B,0.540881501823165,0.14409639028745103
gov-ai,1,Qwen3-Embedding-Scandi-0.6B,0.3777979190586419,0.08557654680240745
gov-ai,1,bge-m3,0.3258651239429806,0.05868920890463269
gov-ai,1,dfm-sentence-encoder-large,0.5378713862530828,0.0945931004584559
gov-ai,1,jaccard-binary,0.10931488047536288,0.0044472681067344345
gov-ai,1,m2v-dfm-large,0.2218872154613134,0.025790145772865702
gov-ai,1,mmBERTscandi-base-embedding,0.3777979190586419,0.08557654680240745
gov-ai,1,model2vecdk,0.446843565842837,0.10289619824636476
gov-ai,1,model2vecdk-stem,0.598844261367277,0.07035595743150364
gov-ai,1,multilingual-e5-base,0.5873404399353364,0.1956555611711825
gov-ai,1,multilingual-e5-large,0.706442913540411,0.15621449670529425
gov-ai,1,multilingual-e5-large-instruct,0.4771677402363544,0.07099836013729469
gov-ai,1,multilingual-e5-small,0.27632835015963153,0.04169345062117854
gov-ai,1,mxbai-embed-large-v1,0.22216770181299383,0.024823300496834847
gov-ai,1,nb-sbert-base,0.5406695321272053,0.03319502074688797
gov-ai,1,paraphrase-multilingual-MiniLM-L12-v2,0.66127750155323,0.10122699386503067
gov-ai,1,paraphrase-multilingual-mpnet-base-v2,0.6086768354075758,0.12141871629094972
gov-ai,1,potion-base-2M,0.605608059160051,0.12965712380620348
gov-ai,1,potion-base-4M,0.6363650389225503,0.07993899917652422
gov-ai,1,potion-base-8M,0.2981050354501876,0.05043410376428799
gov-ai,1,potion-multilingual-128M,0.6214290685041879,0.014271842844778766
gov-ai,1,snowflake-arctic-embed-l-v2.0,0.7712103692940279,0.2616506512148329
gov-ai,1,static-similarity-mrl-multilingual-v1,0.10931488047536288,0.0044472681067344345
gov-ai,1,text-embedding-3-large,0.6867023154741856,0.19253920094545224
gov-ai,1,text-embedding-3-small,0.44986772980624057,0.1345726559028292
gov-ai,1,text-embedding-ada-002,0.6673226118882896,0.08377523047449698
gov-ai,1,tfidf-char35,0.6717332376195146,0.03474487723029396
gov-ai,1,xlm-roberta-base,0.3129847449630596,0.059643379766195076
gov-ai,1,xlm-roberta-large,0.21682479289911039,0.025481134099074702
gov-ai,18,EmbeddingGemma-Scandi-300m,0.6228418496485835,0.14829149824757096
gov-ai,18,LaBSE,0.48600742936783853,0.08184461985874533
gov-ai,18,M2V_base_glove,0.17327111103182158,0.024308597171818293
gov-ai,18,M2V_base_glove_subword,0.15363150343491092,0.007769156968255954
gov-ai,18,M2V_base_output,0.15363150343491092,0.007769156968255954
gov-ai,18,Qwen3-Embedding-0.6B,0.3671053903334655,0.09826460481099655
gov-ai,18,Qwen3-Embedding-Scandi-0.6B,0.5493981150753253,0.24711406769712385
gov-ai,18,bge-m3,0.6971629903983041,0.3812989921612542
